Pais,Ano,Exportacoes_USD,Nr_Produtos,Var YoY (%),Share Total (%)
Estados Unidos,2023,723280923.0,37,,50.8
México,2023,153202777.0,23,,10.8
Argentina,2023,87028975.0,25,,6.1
China,2023,69220751.0,19,,4.9
Reino Unido,2023,64952176.0,15,,4.6
Chile,2023,46403510.0,29,,3.3
Uruguai,2023,44801970.0,37,,3.1
Paraguai,2023,41029832.0,40,,2.9
Itália,2023,39170824.0,21,,2.8
Arábia Saudita,2023,33800606.0,7,,2.4
França,2023,33258296.0,19,,2.3
Alemanha,2023,27331768.0,21,,1.9
Emirados Árabes Unidos,2023,22510814.0,15,,1.6
Portugal,2023,22027506.0,26,,1.5
Espanha,2023,15863672.0,20,,1.1
Estados Unidos,2024,795507656.0,37,10.0,51.1
México,2024,170959556.0,26,11.6,11.0
China,2024,90551205.0,20,30.8,5.8
Argentina,2024,90166519.0,30,3.6,5.8
Reino Unido,2024,70754482.0,22,8.9,4.5
Uruguai,2024,49456801.0,36,10.4,3.2
Paraguai,2024,47079948.0,38,14.7,3.0
Itália,2024,42152987.0,18,7.6,2.7
Portugal,2024,34284139.0,26,55.6,2.2
Arábia Saudita,2024,34143342.0,8,1.0,2.2
França,2024,33391245.0,19,0.4,2.1
Chile,2024,30057565.0,29,-35.2,1.9
Alemanha,2024,28847085.0,20,5.5,1.9
Emirados Árabes Unidos,2024,21164236.0,14,-6.0,1.4
Espanha,2024,17274955.0,17,8.9,1.1
Estados Unidos,2025,620674476.0,34,-22.0,44.2
México,2025,121592734.0,26,-28.9,8.7
Argentina,2025,112984340.0,29,25.3,8.1
China,2025,74596402.0,16,-17.6,5.3
Reino Unido,2025,58626278.0,20,-17.1,4.2
Itália,2025,51785123.0,17,22.9,3.7
Paraguai,2025,51321376.0,38,9.0,3.7
Uruguai,2025,50995340.0,40,3.1,3.6
Portugal,2025,43843449.0,29,27.9,3.1
Arábia Saudita,2025,42576504.0,7,24.7,3.0
Chile,2025,40938832.0,29,36.2,2.9
Emirados Árabes Unidos,2025,37800095.0,13,78.6,2.7
Espanha,2025,33583344.0,19,94.4,2.4
Alemanha,2025,31471327.0,17,9.1,2.2
França,2025,30081892.0,15,-9.9,2.1
