Produto,Categoria,Exp_2023_USD,Exp_2024_USD,Exp_2025_USD,Kg_2023,Kg_2024,Kg_2025,Var 23→24 (%),Var 24→25 (%),Var Kg 24→25 (%),Delta USD 24→25
Madeira serrada,Madeira e Móveis,311299909.0,340657017.0,367778763.0,641650783.0,689467038.0,763309624.0,9.4,8.0,10.7,27121746.0
Obras de carpintaria para construções,Madeira e Móveis,293467151.0,331417218.0,254412297.0,137215604.0,154400928.0,122633127.0,12.9,-23.2,-20.6,-77004921.0
Madeira compensada,Madeira e Móveis,213167588.0,253476658.0,240007295.0,359788885.0,407716837.0,424965742.0,18.9,-5.3,4.2,-13469363.0
Outros móveis,Madeira e Móveis,241818630.0,239364218.0,239887000.0,97903120.0,99389644.0,102397517.0,-1.0,0.2,3.0,522782.0
"Papel Kraft, não revestidos",Papel e Celulose,185438423.0,180429346.0,215572928.0,270537096.0,280744917.0,334638980.0,-2.7,19.5,19.2,35143582.0
Madeira em forma,Madeira e Móveis,105893194.0,129425135.0,84191095.0,59053449.0,80893919.0,54972476.0,22.2,-34.9,-32.0,-45234040.0
Madeira MDF,Madeira e Móveis,62423423.0,90592729.0,80542238.0,173465859.0,255030208.0,228951027.0,45.1,-11.1,-10.2,-10050491.0
Recipientes de papel,Papel e Celulose,86183901.0,76359996.0,78003105.0,62046915.0,54896451.0,57455765.0,-11.4,2.2,4.7,1643109.0
Lenha e desperdícios de madeira,Madeira e Móveis,34285443.0,34507414.0,43544119.0,182364323.0,208978240.0,250597542.0,0.6,26.2,19.9,9036705.0
Madeira em bruto,Produção Florestal,38059989.0,44560707.0,43271868.0,492522368.0,565660207.0,541352116.0,17.1,-2.9,-4.3,-1288839.0
Painéis de madeira aglomerada,Madeira e Móveis,26060389.0,46782089.0,38287029.0,78226685.0,137604376.0,106136409.0,79.5,-18.2,-22.9,-8495060.0
Folheados,Madeira e Móveis,16943121.0,24396855.0,26241247.0,66825862.0,102801369.0,98358208.0,44.0,7.6,-4.3,1844392.0
Outros papéis,Papel e Celulose,23860868.0,21922921.0,25332727.0,42629180.0,39424594.0,41452698.0,-8.1,15.6,5.1,3409806.0
Papel higiênico,Papel e Celulose,16955304.0,19040969.0,21773725.0,10085836.0,11455152.0,13408394.0,12.3,14.4,17.1,2732756.0
Papel para fabricação de papel higiênico,Papel e Celulose,22825913.0,18958049.0,17091563.0,18585492.0,15568942.0,14867661.0,-16.9,-9.8,-4.5,-1866486.0
Assentos,Madeira e Móveis,12736742.0,12587261.0,16289110.0,1980071.0,2151401.0,3302990.0,-1.2,29.4,53.5,3701849.0
"Edredons, almofadas e artigos semelhantes",Madeira e Móveis,11169261.0,11943030.0,13097092.0,2343577.0,2503189.0,2756675.0,6.9,9.7,10.1,1154062.0
Ferramentas de madeira,Madeira e Móveis,8517567.0,13112707.0,12920187.0,4448874.0,6841484.0,6991272.0,53.9,-1.5,2.2,-192520.0
Madeira densificada,Madeira e Móveis,17091616.0,16474355.0,9975457.0,35848602.0,34080942.0,21160150.0,-3.6,-39.4,-37.9,-6498898.0
Outros artigos de madeira,Madeira e Móveis,12739892.0,10747434.0,8387378.0,6773372.0,6524833.0,5236304.0,-15.6,-22.0,-19.7,-2360056.0
