Ano,Mes,Exp_EUA_USD,Exp_Outros_USD,Exp_Total_USD,Share_EUA_Pct,Var EUA vs mesmo mes ano ant (%),Var Total vs mesmo mes ano ant (%),Var Share pp
2023,1,41200717.0,80392803.0,121593520.0,33.9,,,
2023,2,56807042.0,71928302.0,128735344.0,44.1,,,
2023,3,63903507.0,103860349.0,167763856.0,38.1,,,
2023,4,58406220.0,97713122.0,156119342.0,37.4,,,
2023,5,62481957.0,105575485.0,168057442.0,37.2,,,
2023,6,61178987.0,101446194.0,162625181.0,37.6,,,
2023,7,73622930.0,85305663.0,158928593.0,46.3,,,
2023,8,72894258.0,97231677.0,170125935.0,42.8,,,
2023,9,63541738.0,75943274.0,139485012.0,45.6,,,
2023,10,44654734.0,64424679.0,109079413.0,40.9,,,
2023,11,71115083.0,68660020.0,139775103.0,50.9,,,
2023,12,53473750.0,90761315.0,144235065.0,37.1,,,
2024,1,61187818.0,88971087.0,150158905.0,40.7,48.5,23.5,6.8
2024,2,63688537.0,90802490.0,154491027.0,41.2,12.1,20.0,-2.9
2024,3,65917608.0,79104413.0,145022021.0,45.5,3.2,-13.6,7.4
2024,4,63382626.0,94115433.0,157498059.0,40.2,8.5,0.9,2.8
2024,5,74673076.0,106857052.0,181530128.0,41.1,19.5,8.0,3.9
2024,6,59980100.0,97141291.0,157121391.0,38.2,-2.0,-3.4,0.6
2024,7,48965373.0,103525239.0,152490612.0,32.1,-33.5,-4.1,-14.2
2024,8,70328023.0,90641835.0,160969858.0,43.7,-3.5,-5.4,0.9
2024,9,73926794.0,101448899.0,175375693.0,42.2,16.3,25.7,-3.4
2024,10,50804826.0,94798702.0,145603528.0,34.9,13.8,33.5,-6.0
2024,11,87814659.0,96266946.0,184081605.0,47.7,23.5,31.7,-3.2
2024,12,74838216.0,104967518.0,179805734.0,41.6,40.0,24.7,4.5
2025,1,49573963.0,92303168.0,141877131.0,34.9,-19.0,-5.5,-5.8
2025,2,59735955.0,100358602.0,160094557.0,37.3,-6.2,3.6,-3.9
2025,3,72071819.0,100904545.0,172976364.0,41.7,9.3,19.3,-3.8
2025,4,70457919.0,107318156.0,177776075.0,39.6,11.2,12.9,-0.6
2025,5,71398656.0,103791561.0,175190217.0,40.8,-4.4,-3.5,-0.3
2025,6,67167750.0,96846487.0,164014237.0,41.0,12.0,4.4,2.8
2025,7,67689866.0,117576760.0,185266626.0,36.5,38.2,21.5,4.4
2025,8,43151802.0,90067514.0,133219316.0,32.4,-38.6,-17.2,-11.3
2025,9,29534499.0,98468896.0,128003395.0,23.1,-60.0,-27.0,-19.1
2025,10,33052350.0,118742638.0,151794988.0,21.8,-34.9,4.3,-13.1
2025,11,22399474.0,98880377.0,121279851.0,18.5,-74.5,-34.1,-29.2
2025,12,34440423.0,115514278.0,149954701.0,23.0,-54.0,-16.6,-18.6
