Pais,Exp_H1_2025_USD,Exp_H2_2025_USD,Delta_H1_H2_USD,Var_H1_H2_Pct,Exp_H2_2024_USD,Var_YoY_H2_Pct
México,49851597.0,71741137.0,21889540.0,43.90940575083282,81852863.0,-12.353539790049862
África do Sul,5926791.0,14787787.0,8860996.0,149.5074822108625,7637338.0,93.62488605322955
Índia,9992375.0,17629528.0,7637153.0,76.4298077283929,10184988.0,73.09326235828652
Espanha,13381688.0,20201656.0,6819968.0,50.9649305827486,8060848.0,150.61452591588377
Emirados Árabes Unidos,15498104.0,22301991.0,6803887.0,43.901415295703266,11723458.0,90.23389685875959
Paraguai,22557078.0,28764298.0,6207220.0,27.517837195048045,25770132.0,11.618745297851016
Portugal,19689369.0,24154080.0,4464711.0,22.67574445884985,16653478.0,45.03925246125765
Marrocos,4335842.0,8462998.0,4127156.0,95.18695561323499,3672757.0,130.42629828218966
Uruguai,23493279.0,27502061.0,4008782.0,17.063526977226125,27516124.0,-0.05110821567746969
Peru,4080488.0,7406577.0,3326089.0,81.51203973642367,4249701.0,74.28466143853414
Guatemala,3471985.0,6313253.0,2841268.0,81.83410930634781,6841871.0,-7.726219918498901
Jamaica,6286261.0,9074300.0,2788039.0,44.351308353248456,7020914.0,29.24670491619752
Bolívia,9512809.0,11345757.0,1832948.0,19.268209842119187,10323322.0,9.904127760424405
Malásia,5720635.0,7255878.0,1535243.0,26.836933312473178,4998177.0,45.17048916034786
Reino Unido,28659060.0,29967218.0,1308158.0,4.564553059311785,33401198.0,-10.281008483587923
