Pais,Ano,BR_EXP_USD,SC_EXP_USD,Part_SC_BR_Pct,Var_SC_YoY_Pct,Var_BR_YoY_Pct,Var_Part_pp
Estados Unidos,2023,3165390050.0,723280923.0,22.8,,,
México,2023,502278358.0,153202777.0,30.5,,,
Argentina,2023,605170386.0,87028975.0,14.4,,,
China,2023,4017340567.0,69220751.0,1.7,,,
Reino Unido,2023,276512710.0,64952176.0,23.5,,,
Chile,2023,302319245.0,46403510.0,15.3,,,
Uruguai,2023,207076280.0,44801970.0,21.6,,,
Paraguai,2023,197943918.0,41029832.0,20.7,,,
Itália,2023,738247090.0,39170824.0,5.3,,,
Arábia Saudita,2023,90844705.0,33800606.0,37.2,,,
França,2023,276774366.0,33258296.0,12.0,,,
Alemanha,2023,207244703.0,27331768.0,13.2,,,
Equador,2023,103849420.0,25242356.0,24.3,,,
Bolívia,2023,171511980.0,24060270.0,14.0,,,
Emirados Árabes Unidos,2023,217914734.0,22510814.0,10.3,,,
Portugal,2023,140822659.0,22027506.0,15.6,,,
Vietnã,2023,91240866.0,19192280.0,21.0,,,
Porto Rico,2023,41275087.0,18524452.0,44.9,,,
Espanha,2023,154796220.0,15863672.0,10.2,,,
Índia,2023,108183383.0,10483074.0,9.7,,,
Estados Unidos,2024,3821033769.0,795507656.0,20.8,10.0,20.7,-2.0
México,2024,570619502.0,170959556.0,30.0,11.6,13.6,-0.5
China,2024,4868979573.0,90551205.0,1.9,30.8,21.2,0.2
Argentina,2024,483948397.0,90166519.0,18.6,3.6,-20.0,4.2
Reino Unido,2024,308848310.0,70754482.0,22.9,8.9,11.7,-0.6
Uruguai,2024,210539245.0,49456801.0,23.5,10.4,1.7,1.9
Paraguai,2024,219772960.0,47079948.0,21.4,14.7,11.0,0.7
Itália,2024,1094750944.0,42152987.0,3.9,7.6,48.3,-1.4
Portugal,2024,165619236.0,34284139.0,20.7,55.6,17.6,5.1
Arábia Saudita,2024,93423319.0,34143342.0,36.5,1.0,2.8,-0.7
França,2024,344713995.0,33391245.0,9.7,0.4,24.5,-2.3
Chile,2024,258687969.0,30057565.0,11.6,-35.2,-14.4,-3.7
Alemanha,2024,273358397.0,28847085.0,10.6,5.5,31.9,-2.6
Vietnã,2024,122543808.0,28347247.0,23.1,47.7,34.3,2.1
Porto Rico,2024,45516558.0,22277146.0,48.9,20.3,10.3,4.0
Emirados Árabes Unidos,2024,274097344.0,21164236.0,7.7,-6.0,25.8,-2.6
Índia,2024,150106462.0,20209994.0,13.5,92.8,38.8,3.8
Bolívia,2024,138870116.0,17538817.0,12.6,-27.1,-19.0,-1.4
Espanha,2024,239446765.0,17274955.0,7.2,8.9,54.7,-3.0
Equador,2024,122953172.0,12255926.0,10.0,-51.4,18.4,-14.3
Estados Unidos,2025,3056879729.0,620674476.0,20.3,-22.0,-20.0,-0.5
México,2025,468274624.0,121592734.0,26.0,-28.9,-17.9,-4.0
Argentina,2025,584773948.0,112984340.0,19.3,25.3,20.8,0.7
China,2025,5100800555.0,74596402.0,1.5,-17.6,4.8,-0.4
Reino Unido,2025,278459111.0,58626278.0,21.1,-17.1,-9.8,-1.8
Itália,2025,993966745.0,51785123.0,5.2,22.9,-9.2,1.3
Paraguai,2025,238300549.0,51321376.0,21.5,9.0,8.4,0.1
Uruguai,2025,219558851.0,50995340.0,23.2,3.1,4.3,-0.3
Portugal,2025,135827420.0,43843449.0,32.3,27.9,-18.0,11.6
Arábia Saudita,2025,145018059.0,42576504.0,29.4,24.7,55.2,-7.1
Chile,2025,274612438.0,40938832.0,14.9,36.2,6.2,3.3
Emirados Árabes Unidos,2025,226980704.0,37800095.0,16.7,78.6,-17.2,9.0
Espanha,2025,251702129.0,33583344.0,13.3,94.4,5.1,6.1
Alemanha,2025,305808712.0,31471327.0,10.3,9.1,11.9,-0.3
França,2025,295584418.0,30081892.0,10.2,-9.9,-14.3,0.5
Índia,2025,218659321.0,27621903.0,12.6,36.7,45.7,-0.9
Equador,2025,139082255.0,26067487.0,18.7,112.7,13.1,8.7
Porto Rico,2025,47543729.0,25308968.0,53.2,13.6,4.5,4.3
Vietnã,2025,119389574.0,25034088.0,21.0,-11.7,-2.6,-2.1
Bolívia,2025,138974168.0,20858566.0,15.0,18.9,0.1,2.4
